id_det_tra,id_trayectoria,orden,fecha,longitud,latitud,distancia,duracion,velocidad,coordenadas,tipo_coordenada
23090,360,315,"2021-03-12 08:44:39-05",-79.902372,-2.217397,12.629,5.062,2.495,0101000020E6100000DF347D76C0F953C0F4FC69A33ABD01C0,C
15751,319,705,"2021-03-09 03:01:24-05",-79.885459,-2.145704,11.521,2.045,5.633,0101000020E6100000BABC395CABF853C0CB2BD7DB662A01C0,V
30525,382,107,"2021-03-12 12:14:23-05",-79.898997,-2.160157,9.527,3.014,3.161,0101000020E6100000EF8CB62A89F953C0C4CDA964004801C0,C
15985,319,822,"2021-03-09 03:01:24-05",-79.88965,-2.160285,26.53,2.007,13.218,0101000020E6100000BBB88D06F0F853C09C508880434801C0,V
20714,351,170,"2021-03-12 07:50:19-05",-79.910881,-2.177618,26.741,2.008,13.317,0101000020E61000000F63D2DF4BFA53C08A7269FCC26B01C0,V
27996,374,717,"2021-03-12 11:17:01-05",-79.948592,-2.120877,3.895,2.025,1.923,0101000020E6100000D34F38BBB5FC53C070B54E5C8EF700C0,V
35415,392,529,"2021-03-20 03:49:00-05",-79.948805,-2.119932,39.4,2.005,19.651,0101000020E610000000529B38B9FC53C073F38DE89EF500C0,V
34695,391,229,"2021-03-20 03:49:00-05",-79.912369,-2.049534,44.905,1.988,22.588,0101000020E61000009738F24064FA53C00D52F014726500C0,V
20639,352,58,"2021-03-12 07:50:19-05",-79.925484,-2.163517,16.631,2.019,8.237,0101000020E6100000293E3E213BFB53C063B83A00E24E01C0,V
17377,329,300,"2021-03-12 02:59:25-05",-79.873735,-2.09115,21.147,2.041,10.361,0101000020E6100000B7973446EBF753C0423EE8D9ACBA00C0,V
18221,329,733,"2021-03-12 02:59:25-05",-79.894042,-2.167914,21.297,1.997,10.664,0101000020E610000007D0EFFB37F953C00953944BE35701C0,V
22824,361,115,"2021-03-12 08:44:39-05",-79.910236,-2.218895,8.887,1.933,4.597,0101000020E610000014E97E4E41FA53C0381092054CC001C0,C
32054,384,519,"2021-03-15 03:07:32-05",-79.886049,-2.12958,17.103,2.013,8.496,0101000020E6100000D369DD06B5F853C0B6B9313D610901C0,M
28994,374,1221,"2021-03-12 11:17:01-05",-79.904555,-2.15858,11.121,2.003,5.552,0101000020E6100000BB9BA73AE4F953C0BF654E97C54401C0,V
20511,351,62,"2021-03-12 07:50:19-05",-79.924974,-2.163744,12.419,1.968,6.31,0101000020E61000009FE925C632FB53C06D54A703594F01C0,V
31343,385,98,"2021-03-15 03:07:32-05",-79.840149,-2.072305,5.972,1.998,2.989,0101000020E610000018B14F00C5F553C0C0B2D2A4149400C0,M
11897,122,392,"2021-02-17 02:54:51-05",-79.87196,-2.109197,44.824,2.013,22.267,0101000020E6100000E4DA5031CEF753C00C923EADA2DF00C0,V
34185,390,220,"2021-03-20 03:00:55-05",-79.879779,-2.053504,37.787,1.998,18.912,0101000020E6100000492D944C4EF853C038A45181936D00C0,V
38027,393,1063,"2021-03-22 01:53:42-05",-79.833179,-2.067974,10.556,1.976,5.342,0101000020E6100000B22D03CE52F553C091D3D7F3358B00C0,M
10954,96,5,"2021-02-11 13:18:23-05",-79.94875,-2.8498484,1,1,1,0101000020E61000001F85EB51B8FC53C03411363CBDB200C0,O
27265,375,284,"2021-03-12 11:17:01-05",-79.924605,-2.238419,10.607,2.001,5.3,0101000020E6100000F52D73BA2CFB53C0CFF57D3848E801C0,V
38755,393,1421,"2021-03-22 01:53:42-05",-79.874015,-2.097794,31.51,1.965,16.035,0101000020E6100000A94D9CDCEFF753C0CFF57D3848C800C0,M
35664,391,710,"2021-03-20 03:49:00-05",-79.945732,-2.176895,45.825,1.997,22.947,0101000020E6100000F7B182DF86FC53C07C9BFEEC476A01C0,V
15257,319,457,"2021-03-09 03:01:24-05",-79.86773,-2.123027,42.252,2.053,20.58,0101000020E610000084F068E388F753C02F336C94F5FB00C0,V
33686,387,379,"2021-03-15 05:53:35-05",-79.91858,-2.170433,10.171,1.997,5.093,0101000020E61000009FB0C403CAFA53C0FA4509FA0B5D01C0,R
26629,374,4,"2021-03-12 11:17:01-05",-79.888212,-2.243012,0.414,1.992,0.207,0101000020E61000008BFA2477D8F853C0CF488446B0F101C0,V
31791,384,386,"2021-03-15 03:07:32-05",-79.872789,-2.106039,37.937,1.998,18.987,0101000020E6100000BFD364C6DBF753C0EACDA8F92AD900C0,M
30601,382,144,"2021-03-12 12:14:23-05",-79.896893,-2.168232,14.876,2.001,7.434,0101000020E6100000BAC0E5B166F953C01920D1048A5801C0,C
12246,235,3,"2021-02-23 14:12:58-05",-79.920284,-2.087377,,,,0101000020E61000000DC2DCEEE5FA53C078616BB6F2B200C0,O
29326,375,1340,"2021-03-12 11:17:01-05",-79.90357,-2.172699,11.598,2,5.799,0101000020E610000064E94317D4F953C04D6A6803B06101C0,V
23730,360,631,"2021-03-12 08:44:39-05",-79.894895,-2.193423,19.471,2.017,9.653,0101000020E6100000A796ADF545F953C08A5A9A5B218C01C0,C
38351,394,1157,"2021-03-22 01:53:42-05",-79.84036,-2.072282,10.571,2.003,5.277,0101000020E610000076374F75C8F553C03DB7D095089400C0,M
14655,319,154,"2021-03-09 03:01:24-05",-79.846445,-2.073894,29.9,1.999,14.957,0101000020E61000003737A6272CF653C00AF7CABC559700C0,V
32375,384,678,"2021-03-15 03:07:32-05",-79.886365,-2.151457,20.354,2.008,10.136,0101000020E61000006BD44334BAF853C08F006E162F3601C0,M
21058,352,268,"2021-03-12 07:50:19-05",-79.895735,-2.188314,10.367,2.001,5.181,0101000020E61000007CB8E4B853F953C014083BC5AA8101C0,V
17314,328,335,"2021-03-12 02:59:25-05",-79.873965,-2.100276,39.789,2.004,19.855,0101000020E61000005036E50AEFF753C0EE96E4805DCD00C0,V
