coordenadas,id_trayectoria
"(-79.894926,-2.188201)",352
"(-79.948165,-2.13221)",391
"(-79.948034,-2.15586)",392
"(-79.947799,-2.111835)",392
"(-79.871004,-2.112362)",121
"(-79.953979,-2.228812)",374
"(-79.937932,-2.081449)",374
"(-79.915749,-2.196657)",340
"(-79.958187,-2.186974)",391
"(-79.85214,-2.075622)",394
"(-79.87187,-2.109587)",121
"(-79.947865,-2.106544)",392
"(-79.895897,-2.196417)",345
"(-79.918907,-2.143952)",375
"(-79.900101,-2.244037)",346
"(-79.929604,-2.197756)",376
"(-79.948794,-2.121839)",375
"(-79.94875,-2.8498484)",259
"(-80.325517,-2.374565)",393
"(-79.896364,-2.197957)",345
"(-79.876323,-2.181403)",372
"(-79.9564,-2.188332)",375
"(-79.896957,-2.185347)",356
"(-80.09253,-2.223997)",394
"(-79.883055,-2.118397)",380
"(-79.947201,-2.0877)",392
"(-79.955716,-2.087444)",365
"(-79.898871,-2.172354)",366
"(-79.883894,-2.127894)",394
"(-79.897425,-2.182157)",333
"(-79.843569,-2.072769)",389
"(-79.94875,-2.8498484)",258
"(-80.189119,-2.282889)",394
"(-79.901835,-2.238934)",374
"(-79.923072,-2.165698)",386
"(-79.95957,-2.186985)",391
"(-79.861602,-2.075017)",122
"(-79.89689,-2.199632)",360
"(-79.870377,-2.073452)",328
"(-79.931219,-2.120504)",387
"(-79.904056,-2.199632)",341
"(-79.919689,-2.169108)",352
"(-79.856015,-2.074689)",328
"(-79.894838,-2.186271)",360
"(-79.896405,-2.181814)",332
"(-79.894987,-2.165634)",329
"(-80.350875,-2.381432)",393
"(-79.9272256,-2.1228027)",272
"(-79.94875,-2.8498484)",263
"(-79.871144,-2.073302)",389
"(-79.893632,-2.189281)",360
"(-79.832884,-2.069194)",319
"(-79.94875,-2.8498484)",262
"(-79.883704,-2.130582)",122
"(-79.85989,-2.07568)",319
"(-79.917314,-2.171232)",387
"(-80.280742,-2.350722)",394
"(-79.872797,-2.105637)",326
"(-79.832697,-2.069179)",114
"(-79.892297,-2.166282)",384
"(-79.886454,-2.151002)",319
"(-79.886745,-2.13016)",393
"(-79.916461,-2.196451)",341
"(-79.932868,-2.113966)",386
"(-79.891097,-2.239747)",375
"(-79.93933,-2.080377)",374
"(-79.840317,-2.072259)",121
"(-79.867925,-2.117812)",385
"(-80.197904,-2.287797)",394
"(-79.891047,-2.162768)",379
"(-79.898347,-2.162109)",367
"(-79.898829,-2.172119)",366
"(-79.83367,-2.07004)",385
"(-79.8963771,-2.18186)",312
"(-79.889974,-2.049122)",390
"(-79.883055,-2.127165)",329
"(-79.905449,-2.151315)",375
"(-79.889592,-2.049182)",392
"(-79.893457,-2.186684)",361
"(-79.897446,-2.183261)",355
"(-79.891941,-2.175564)",380
"(-79.900029,-2.244915)",346
"(-79.833355,-2.067982)",393
"(-79.900452,-2.178692)",350
"(-79.886401,-2.15139)",319
"(-80.26838,-2.337042)",393
"(-79.843769,-2.072939)",384
"(-79.895994,-2.185945)",360
"(-79.840729,-2.072255)",318
"(-79.882833,-2.122547)",379
"(-79.9484,-2.119627)",374
"(-79.88224,-2.126257)",319
